,track_name,artists,artist_utama,track_genre,popularity,explicit,danceability,energy,valence,duration_min,positivity_index
1,Hyouriittai,YUZU,Yuzu,J-Pop,52,false,0.223,0.891,0.333,5.61,0.297
2,Reason,YUZU,Yuzu,J-Pop,47,false,0.363,0.819,0.468,5.07,0.383
3,Marigold,Aimyon,Aimyon,J-Pop,50,false,0.545,0.745,0.413,5.11,0.308
4,Naked Heart,Aimyon,Aimyon,J-Pop,47,false,0.559,0.448,0.354,4.94,0.159
5,愛を伝えたいだとか,Aimyon,Aimyon,J-Pop,65,false,0.673,0.85,0.793,3.92,0.674
6,3636,Aimyon,Aimyon,J-Pop,44,false,0.579,0.612,0.623,4.2,0.381
7,君はロックを聴かない,Aimyon,Aimyon,J-Pop,64,false,0.524,0.687,0.619,4.11,0.425
8,ポラリス,BLUE ENCOUNT,BLUE ENCOUNT,J-Rock,65,false,0.534,0.941,0.573,3.74,0.539
9,MUKANJYO,Survive Said The Prophet,Survive Said The Prophet,J-Rock,64,false,0.468,0.961,0.31,3.21,0.298
10,MUKANJYO,Survive Said The Prophet,Survive Said The Prophet,J-Rock,64,false,0.468,0.961,0.31,3.21,0.298
11,ポラリス,BLUE ENCOUNT,BLUE ENCOUNT,J-Rock,65,false,0.534,0.941,0.573,3.74,0.539
12,The Departure,Max Richter,MAX,J-Pop,61,false,0.384,0.00341,0.117,1.26,0
13,Dream 1 (before the wind blows it all away) - Pt. 8,Max Richter,MAX,J-Pop,62,false,0.166,0.00225,0.0541,1.98,0
14,Vladimir's Blues,Max Richter,MAX,J-Pop,61,false,0.375,0.165,0.0581,1.31,0.01
15,Written on the Sky,Max Richter,MAX,J-Pop,58,false,0.349,0.119,0.181,1.67,0.022
16,"To the Stars - From ""Ad Astra"" Soundtrack",Max Richter,MAX,J-Pop,50,false,0.157,0.184,0.0304,3.5,0.006
17,Dream 1 (before the wind blows it all away) - Pt. 1,Max Richter,MAX,J-Pop,55,false,0.214,0.00144,0.0866,2.55,0
18,The End of All Our Exploring,Max Richter,MAX,J-Pop,48,false,0.507,0.0249,0.124,3.59,0.003
19,Dream 1 (before the wind blows it all away) - Pt. 4,Max Richter,MAX,J-Pop,55,false,0.282,0.00212,0.0803,2.23,0
20,Dream 1 (before the wind blows it all away) - Pt. 2,Max Richter,MAX,J-Pop,54,false,0.314,0.00174,0.0628,2.37,0
21,She Remembers,Max Richter,MAX,J-Pop,50,false,0.0602,0.0276,0.0356,3.82,0.001
22,Miss Sloane Solo,Max Richter,MAX,J-Pop,27,false,0.263,0.0177,0.173,2.13,0.003
23,A Catalogue of Afternoons,Max Richter,MAX,J-Pop,56,false,0.126,0.0805,0.124,1.81,0.01
24,To the Stars,Max Richter,MAX,J-Pop,46,false,0.16,0.0985,0.0321,3.51,0.003
